Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Yogi Berra*,23,NYY,AL,125,497,469,70,143,24,10,14,98,3,3,25,24,0.305,0.341,0.488,0.83,120,229,9,1,2,,,2O9
Neil Berry,26,DET,AL,87,301,256,46,68,8,1,0,16,1,3,37,23,0.266,0.358,0.305,0.663,75,78,4,0,8,,,64
Vern Bickford,27,BSN,NL,33,57,49,3,10,2,0,0,7,0,,2,12,0.204,0.235,0.245,0.48,31,12,1,0,6,,,1
Charlie Bicknell,19,PHI,NL,17,5,5,0,0,0,0,0,0,0,,0,2,0,0,0,0,-100,0,0,0,0,,,1
George Binks*,33,TOT,AL,32,71,64,4,9,1,0,0,3,1,0,4,3,0.141,0.191,0.156,0.347,-8,10,1,0,3,,,9/37
George Binks*,33,PHA,AL,17,44,41,2,4,1,0,0,2,1,0,2,2,0.098,0.14,0.122,0.261,-30,5,1,0,1,,,O9/7
George Binks*,33,SLB,AL,15,27,23,2,5,0,0,0,1,0,0,2,1,0.217,0.28,0.217,0.497,32,5,0,0,2,,,/O397
Frank Biscan*,28,SLB,AL,47,30,26,3,5,2,0,0,2,0,0,4,7,0.192,0.3,0.269,0.569,51,7,0,0,0,,,1
Don Black,31,CLE,AL,18,16,15,1,3,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,8,3,0,0,1,,,1
Jim Blackburn,24,CIN,NL,16,7,6,0,0,0,0,0,0,0,,1,2,0,0.143,0,0.143,-58,0,0,0,0,,,1
Ewell Blackwell,25,CIN,NL,22,51,48,3,11,3,0,0,1,0,,0,6,0.229,0.229,0.292,0.521,42,14,4,0,3,,,1
Johnny Blatnik,27,PHI,NL,121,454,415,56,108,27,8,6,45,3,,31,77,0.26,0.315,0.407,0.722,96,169,12,2,5,,,*7O
Buddy Blattner,28,NYG,NL,8,24,20,3,4,1,0,0,0,2,,3,2,0.2,0.304,0.25,0.554,51,5,0,0,1,,,/4
Eddie Bockman,27,PIT,NL,70,195,176,23,42,7,1,4,23,2,,17,35,0.239,0.309,0.358,0.667,79,63,7,1,2,,,5/4
Tiny Bonham,34,PIT,NL,22,50,49,2,8,0,0,0,3,0,,0,7,0.163,0.163,0.163,0.327,-12,8,0,0,1,,,1
Ray Boone,24,CLE,AL,6,5,5,0,2,1,0,0,1,0,0,0,1,0.4,0.4,0.6,1,167,3,0,0,0,,,/6
Hank Borowy,32,CHC,NL,39,38,36,4,8,3,0,0,0,0,,2,8,0.222,0.263,0.306,0.569,57,11,0,0,0,,,1
Lou Boudreau,30,CLE,AL,152,676,560,116,199,34,6,18,106,3,2,98,9,0.355,0.453,0.534,0.987,165,299,15,2,16,,,*6/2
Fred Bradley,27,CHW,AL,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,,,/1
Bobby Bragan,30,BRO,NL,9,14,12,0,2,0,0,0,0,0,,1,0,0.167,0.231,0.167,0.397,7,2,0,0,1,,,/2
Ralph Branca,22,BRO,NL,36,82,74,3,15,1,0,0,2,0,,5,16,0.203,0.253,0.216,0.469,26,16,3,0,3,,,1
Al Brazle*,34,STL,NL,45,56,55,5,8,1,0,0,7,0,,1,9,0.145,0.161,0.164,0.324,-14,9,1,0,0,,,1
Harry Brecheen*,33,STL,NL,33,90,82,4,12,1,1,0,2,0,,5,20,0.146,0.205,0.183,0.387,3,15,3,1,2,,,1
Lou Brissie*,24,PHA,AL,39,83,76,3,18,1,0,0,10,0,0,2,8,0.237,0.256,0.25,0.506,34,19,3,0,5,,,1
Bobby Brown*,23,NYY,AL,113,417,363,62,109,19,5,3,48,0,1,48,16,0.3,0.383,0.405,0.788,111,147,7,1,4,,,564/O79
Tommy Brown,20,BRO,NL,54,156,145,18,35,4,0,2,20,1,,7,17,0.241,0.281,0.31,0.591,57,45,5,1,3,,,5/37
Earle Brucker*,22,PHA,AL,2,7,6,0,1,1,0,0,0,0,0,1,1,0.167,0.286,0.333,0.619,64,2,0,0,0,,,/2
Johnny Bucha,23,STL,NL,2,2,1,0,0,0,0,0,0,0,,1,0,0,0.5,0,0.5,42,0,0,0,0,,,/2
Ken Burkhart,31,TOT,NL,37,15,13,3,4,1,0,1,2,0,,1,3,0.308,0.357,0.615,0.973,159,8,0,0,0,,,1
